id,apn,sale_date,opening_bid,winning_bid,notes
0073,1413814300,05/12 - 5/14/2025,"$2,400.00","$15,100.00",
0126,1882313700,05/12 - 5/14/2025,"$82,500.00",-,No Bids
0132,1980611200,05/12 - 5/14/2025,"$1,500.00","$6,000.00",
0137,1983910400,05/12 - 5/14/2025,"$27,700.00","$27,700.00",
0141,1991400200,05/12 - 5/14/2025,"$2,400.00","$20,300.00",Forfeited
0142,2002810200,05/12 - 5/14/2025,"$1,550.00","$12,300.00",
0177,2502000700,05/12 - 5/14/2025,"$1,250.00","$11,100.00",
0178,2502000800,05/12 - 5/14/2025,"$1,250.00","$15,200.00",
0214,2723001100,05/12 - 5/14/2025,"$40,900.00","$130,500.00",
0263,3781703500,05/12 - 5/14/2025,"$2,500.00","$26,800.00",
0404,5792123700,05/12 - 5/14/2025,"$100,000.00","$390,100.00",
0405,5793964900,05/12 - 5/14/2025,"$4,900.00","$26,400.00",
0454,6192214500,05/12 - 5/14/2025,"$100,000.00","$500,100.00",
2002,1472643818,05/12 - 5/14/2025,$100.00,$200.00,
2003,1472644008,05/12 - 5/14/2025,$100.00,$200.00,
2006,1472644436,05/12 - 5/14/2025,$100.00,$800.00,
2011,1502640137,05/12 - 5/14/2025,$100.00,-,No Bids
2016,1502640843,05/12 - 5/14/2025,$100.00,-,No Bids
2017,1853650237,05/12 - 5/14/2025,$100.00,-,No Bids
2018,1853652451,05/12 - 5/14/2025,$100.00,-,No Bids
2019,1853655830,05/12 - 5/14/2025,$100.00,-,No Bids
2021,1853662140,05/12 - 5/14/2025,$100.00,-,No Bids
2024,1853691348,05/12 - 5/14/2025,$100.00,-,No Bids
2025,1853691943,05/12 - 5/14/2025,$100.00,-,No Bids
2026,1853691944,05/12 - 5/14/2025,$100.00,-,No Bids
2027,1853692027,05/12 - 5/14/2025,$100.00,-,No Bids
2028,1854803334,05/12 - 5/14/2025,$100.00,-,No Bids
2029,1854810309,05/12 - 5/14/2025,$100.00,-,No Bids
2034,1854815839,05/12 - 5/14/2025,$100.00,$100.00,
2035,1854821113,05/12 - 5/14/2025,$100.00,-,No Bids
2037,1854824019,05/12 - 5/14/2025,$100.00,-,No Bids
2038,1854827442,05/12 - 5/14/2025,$100.00,$100.00,
2039,1854834501,05/12 - 5/14/2025,$100.00,-,No Bids
2041,1854834752,05/12 - 5/14/2025,$100.00,-,No Bids
2043,1854836252,05/12 - 5/14/2025,$100.00,$200.00,
2045,1854837447,05/12 - 5/14/2025,$100.00,-,No Bids
2049,1854845148,05/12 - 5/14/2025,$100.00,$100.00,
2050,1854846230,05/12 - 5/14/2025,$100.00,-,No Bids
2051,1854846425,05/12 - 5/14/2025,$100.00,-,No Bids
2054,1854853015,05/12 - 5/14/2025,$100.00,-,No Bids
2055,1854857106,05/12 - 5/14/2025,$100.00,-,No Bids
2059,1854865544,05/12 - 5/14/2025,$100.00,-,No Bids
2062,1854882636,05/12 - 5/14/2025,$100.00,-,No Bids
2064,2032530349,05/12 - 5/14/2025,$100.00,$100.00,
2065,2032530548,05/12 - 5/14/2025,$100.00,$100.00,
2066,2032530616,05/12 - 5/14/2025,$100.00,$100.00,
2067,2032530649,05/12 - 5/14/2025,$100.00,$100.00,
2068,2032530713,05/12 - 5/14/2025,$100.00,$100.00,
2070,2032530801,05/12 - 5/14/2025,$100.00,$100.00,
2071,2032530906,05/12 - 5/14/2025,$100.00,$100.00,
2073,2032531017,05/12 - 5/14/2025,$100.00,$600.00,
2076,2032531316,05/12 - 5/14/2025,$100.00,$100.00,
2077,2032531403,05/12 - 5/14/2025,$100.00,$100.00,
2078,2032531509,05/12 - 5/14/2025,$100.00,$100.00,
2080,2032531603,05/12 - 5/14/2025,$100.00,$100.00,
2082,2032531908,05/12 - 5/14/2025,$100.00,$100.00,
2084,2032532205,05/12 - 5/14/2025,$100.00,$100.00,
2085,2032532208,05/12 - 5/14/2025,$100.00,$100.00,
2087,2032532349,05/12 - 5/14/2025,$100.00,$100.00,
2088,2032532350,05/12 - 5/14/2025,$100.00,$100.00,
2089,2032532517,05/12 - 5/14/2025,$100.00,$100.00,
2090,2032532525,05/12 - 5/14/2025,$100.00,$600.00,
2091,2032532640,05/12 - 5/14/2025,$100.00,$600.00,
2092,2032532849,05/12 - 5/14/2025,$100.00,$100.00,
2093,2032532920,05/12 - 5/14/2025,$100.00,$100.00,
2094,2032533110,05/12 - 5/14/2025,$100.00,$500.00,
2097,2032533702,05/12 - 5/14/2025,$100.00,$100.00,
2098,2032533820,05/12 - 5/14/2025,$100.00,$100.00,
2100,2032534649,05/12 - 5/14/2025,$100.00,$100.00,
2101,2032534852,05/12 - 5/14/2025,$100.00,$100.00,
2102,2032535211,05/12 - 5/14/2025,$100.00,$600.00,
2103,2032535617,05/12 - 5/14/2025,$100.00,$600.00,
2105,2032535850,05/12 - 5/14/2025,$100.00,$100.00,
2107,2032540612,05/12 - 5/14/2025,$100.00,$200.00,
2108,2032540649,05/12 - 5/14/2025,$100.00,$100.00,
2109,2032540652,05/12 - 5/14/2025,$100.00,$100.00,
2111,2032540718,05/12 - 5/14/2025,$100.00,$100.00,
2115,2032541007,05/12 - 5/14/2025,$100.00,$800.00,
2116,2032541248,05/12 - 5/14/2025,$100.00,$100.00,
2117,2032541713,05/12 - 5/14/2025,$100.00,$100.00,
2120,2032542140,05/12 - 5/14/2025,$100.00,$100.00,
2122,2032542445,05/12 - 5/14/2025,$100.00,$100.00,
2124,2032542746,05/12 - 5/14/2025,$100.00,$100.00,
2126,2032543047,05/12 - 5/14/2025,$100.00,$100.00,
2130,2032543618,05/12 - 5/14/2025,$100.00,$100.00,
2134,2032544512,05/12 - 5/14/2025,$100.00,$100.00,
2137,2032545403,05/12 - 5/14/2025,$100.00,$100.00,
2139,2032545912,05/12 - 5/14/2025,$100.00,$300.00,
2142,2032546402,05/12 - 5/14/2025,$100.00,$100.00,
2143,2032546411,05/12 - 5/14/2025,$100.00,$100.00,
2144,2032546610,05/12 - 5/14/2025,$100.00,$100.00,
2151,2041241636,05/12 - 5/14/2025,$100.00,$100.00,
2152,2041241647,05/12 - 5/14/2025,$100.00,$100.00,
2153,2041241807,05/12 - 5/14/2025,$100.00,"$1,600.00",
2154,2041242220,05/12 - 5/14/2025,$100.00,$100.00,
2159,2041243904,05/12 - 5/14/2025,$100.00,$100.00,
2162,2041244543,05/12 - 5/14/2025,$100.00,$100.00,
2163,2041244601,05/12 - 5/14/2025,$100.00,$200.00,
2166,2041244923,05/12 - 5/14/2025,$100.00,$100.00,
2167,2041245324,05/12 - 5/14/2025,$100.00,$100.00,
2168,2041245432,05/12 - 5/14/2025,$100.00,"$2,600.00",
2169,2158120426,05/12 - 5/14/2025,$100.00,-,No Bids
2170,2158120931,05/12 - 5/14/2025,$100.00,-,No Bids
2171,2158121137,05/12 - 5/14/2025,$100.00,-,No Bids
2173,2158121943,05/12 - 5/14/2025,$100.00,-,No Bids
2174,2158130442,05/12 - 5/14/2025,$100.00,-,No Bids
2175,2158131144,05/12 - 5/14/2025,$100.00,-,No Bids
