rank,county,parcel_id,item_id,address,city,buildability_gate,title_lien_tier,requires_attorney_review,recorder_search_url,ucc_search_url,rtc_3712_reference_url,title_report_ordered,recorder_chain_checked,ucc_checked,irs_lien_checked,special_assessment_checked,occupancy_verified,attorney_review_complete
1,San Diego,5171215700,342,1702 LAYNE PL EL CAJON CA 92019-4265,El Cajon,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
2,San Diego,4906313100,332,8332 CASE ST LA MESA CA 91942-2919,La Mesa,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
3,San Diego,4760211102,318,3519 VAN DYKE AVE #02 SAN DIEGO CA 92105-3470,San Diego,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
4,San Diego,4906312700,331,CASE ST LA MESA CA 91942,La Mesa,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
5,San Diego,2771500100,203,EAGLES CREST RD RAMONA CA 92065,Ramona,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
6,San Diego,5461000500,363,J ST,San Diego,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
7,San Diego,2952104700,223,WINDFALL TRL JULIAN CA 92036,Julian,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
8,San Diego,2952104600,222,WINDFALL TRL JULIAN CA 92036,Julian,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
9,San Diego,5211202900,344,18772 LAWSON HILLS RD JAMUL CA 91935-2605,Jamul,REVIEW,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
10,San Diego,1413503900,55,2083 TREBUCHET DR BORREGO SPRINGS CA 92004-4222,Borrego Springs,PASS,low,False,https://www.sdarcc.gov/content/arcc/home/divisions/recorder-clerk.html,https://www.sos.ca.gov/business-programs/ucc/,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=3712.,,,,,,,
