rank,county,parcel_id,item_id,property_type,address,city,zip,opening_bid,recommended_max_bid,estimated_roi_pct,confidence_score,risk_flags,county_terms_url,county_map_url,due_diligence_steps
1,San Diego,4760211102,0318,Improved Property,3519 VAN DYKE AVE #02 SAN DIEGO CA 92105-3470,San Diego,92105,8000.0,74159.9,305.2300996856905,92.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
2,San Diego,4906313100,0332,Improved Property,8332 CASE ST LA MESA CA 91942-2919,La Mesa,91942,128000.0,1629496.2,683.6806692984572,92.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
3,San Diego,5171215700,0342,Improved Property,1702 LAYNE PL EL CAJON CA 92019-4265,El Cajon,92019,91000.0,625270.49,295.35519040538094,92.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
4,San Diego,4906312700,0331,Unimproved property,CASE ST LA MESA CA 91942,La Mesa,91942,64000.0,817080.77,636.935183748566,92.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
5,San Diego,2771500100,0203,Unimproved property,EAGLES CREST RD RAMONA CA 92065,Ramona,92065,52000.0,620791.17,588.9177238514889,92.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
6,San Diego,5461000500,0363,Unimproved property,J ST,San Diego,92102,103900.0,611136.33,260.5108092017274,92.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
7,San Diego,2952104700,0223,Unimproved property,WINDFALL TRL JULIAN CA 92036,Julian,92036,4000.0,20291.88,295.32793629422497,84.0,low-historical-sellthrough-bin,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
8,San Diego,2952104600,0222,Unimproved property,WINDFALL TRL JULIAN CA 92036,Julian,92036,4000.0,19921.23,288.0425088751949,84.0,low-historical-sellthrough-bin,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
9,San Diego,5211202900,0344,Unimproved property,18772 LAWSON HILLS RD JAMUL CA 91935-2605,Jamul,91935,20300.0,118562.08,235.60028535244152,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
10,San Diego,1413503900,0055,Unimproved property,2083 TREBUCHET DR BORREGO SPRINGS CA 92004-4222,Borrego Springs,92004,2100.0,12266.2,355.17871098531697,84.0,low-historical-sellthrough-bin,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
11,San Diego,2912420800,0210,Unimproved property,MANZANITA DR JULIAN CA,Julian,92036,2000.0,10646.37,314.4804176645933,84.0,low-historical-sellthrough-bin,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
12,San Diego,4510722100,0304,Unimproved property,BUSH ST SAN DIEGO CA,San Diego,92103,144200.0,699654.46,196.8706900004801,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
13,San Diego,6661300700,0460,Unimproved property,SAN YSIDRO CA,San Ysidro,92173,144300.0,699659.21,196.66496645262512,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
14,San Diego,6661300900,0462,Unimproved property,SAN YSIDRO CA,San Ysidro,92173,1083500.0,5247591.1,196.33351892212872,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
15,San Diego,6661300600,0459,Unimproved property,SAN YSIDRO CA,San Ysidro,92173,145000.0,699692.51,195.2328464937053,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
16,San Diego,6661300400,0457,Unimproved property,SAN YSIDRO CA,San Ysidro,92173,218600.0,1049597.95,193.75140038569143,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
17,San Diego,2176500400,0124,Improved Property,695 CASITA LN SAN MARCOS CA 92069-8319,San Marcos,92069,168000.0,564790.51,104.79581627604455,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
18,San Diego,6661300500,0458,Unimproved property,SAN YSIDRO CA,San Ysidro,92173,28100.0,131224.24,167.80141758239705,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
19,San Diego,6091724800,0429,Unimproved property,TIERRA HEIGHTS RD BOULEVARD CA 91905,Boulevard,91905,9500.0,56496.81,159.25376092591887,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
20,San Diego,3210805100,0245,Unimproved property,VALI HAI RD POWAY CA 92064,Poway,92064,55800.0,248292.65,155.05635169675372,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
21,San Diego,2381522600,0141,Unimproved property,S ESCONDIDO BLVD,Escondido,92036,2600.0,9801.16,192.69919007627885,92.0,low-historical-sellthrough-bin,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
22,San Diego,5221604300,0345,Unimproved property,FOREST PARK RD JAMUL CA 91935,Jamul,91935,7700.0,43653.51,147.03854204909678,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
23,San Diego,1262306900,0043,Unimproved property,S MISSION RD,Bonsall,92003,11400.0,64205.88,145.4249993134471,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
24,San Diego,1882232400,0091,Unimproved property,MACTAN RD VALLEY CENTER CA 92082,Valley Center,92082,11400.0,63908.29,144.27797531503018,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
25,San Diego,1882232100,0088,Unimproved property,MACTAN RD VALLEY CENTER CA 92082,Valley Center,92082,11500.0,63913.04,142.1545602700587,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
26,San Diego,1882232200,0089,Unimproved property,MACTAN RD VALLEY CENTER CA 92082,Valley Center,92082,11500.0,63913.04,142.1545602700587,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
27,San Diego,4510722200,0305,Unimproved property,BUSH ST SAN DIEGO CA,San Diego,92103,16000.0,87349.25,137.8451601046985,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
28,San Diego,6520601100,0452,Unimproved property,HIGHWAY 94 POTRERO CA 91963,Potrero,91963,6400.0,34931.02,137.74316274248724,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
